ID;LIMIT_BAL;AGE;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month
44;140000;37;0;0;0;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
44;140000;37;0;0;0;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
44;140000;37;0;0;0;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
44;140000;37;0;0;0;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
44;140000;37;0;0;0;0;0;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
98;150000;27;0;0;0;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
98;150000;27;0;0;0;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
98;150000;27;0;0;0;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
98;150000;27;0;0;0;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
98;150000;27;0;0;0;0;0;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
109;130000;38;0;0;-1;-1;-1;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
109;130000;38;0;0;-1;-1;-1;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
109;130000;38;0;0;-1;-1;-1;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
109;130000;38;0;0;-1;-1;-1;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
109;130000;38;0;0;-1;-1;-1;171438;178382;39940;120483;44127;126568;10908;0;133657;4566;133841;4796;0
2008;340000;49;-1;-1;-2;-1;2;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2008;340000;49;-1;-1;-2;-1;2;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2008;340000;49;-1;-1;-2;-1;2;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2008;340000;49;-1;-1;-2;-1;2;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2008;340000;49;-1;-1;-2;-1;2;1960;1052;6730;1346;3684;745;1228;7270;2000;4325;0;11271;0
2379;60000;30;0;0;2;2;2;15145;16618;18475;17919;19167;18750;2000;2100;0;1500;0;1500;1
2379;60000;30;0;0;2;2;2;15145;16618;18475;17919;19167;18750;2000;2100;0;1500;0;1500;1
